Year,Total Known Debt
1990,3.01933E+13
1991,3.37345E+13
1992,3.78546E+13
1993,3.80008E+13
1994,4.33378E+13
1995,4.94284E+13
1996,5.05873E+13
1997,5.04294E+13
1998,5.25173E+13
1999,5.21613E+13
2000,1.49477E+13
2001,1.03549E+13
2002,1.98217E+13
2003,2.22648E+13
2004,2.44496E+13
2005,2.59048E+13
2006,2.72604E+13
2007,2.93316E+13
2008,3.57845E+13
2009,4.06171E+13
2010,4.71126E+13
2011,5.3145E+13
2012,5.71368E+13
2013,5.74747E+13
2014,5.63656E+13
2015,5.55568E+13
2016,5.8336E+13
2017,
2018,6.99095E+13
